PRODUCT_ID,PRODUCT_DESC,PRODUCT_QUANTITY_AVAIL,PRODUCT_PRICE,INVENTORY_VALUE,NEW_PRICE
99999,"SAMSUNG GALAXY TAB 2 P3100",50,19300.00,965000.00,16405.0000
99998,"NIKON COOLPIX L810 BRIDGE",50,14987.00,749350.00,12738.9500
99997,"SONY XPERIA U (BLACK WHITE)",50,16499.00,824950.00,14024.1500
99994,"HP DESKJET 2050 ALL-IN-ONE - J510A PRINTER",100,3749.00,374900.00,3374.100
99995,"LG MS-2049UW SOLO MICROWAVE",100,4800.00,480000.00,4320.000
99996,"NOKIA ASHA 200 (GRAPHITE)",100,4070.00,407000.00,3663.000
99991,"DELL TARGUS SYNERGY 2.0 BACKPACK",250,999.00,249750.00,899.100
99992,"TOM CLANCY'S GHOST RECON: FUTURE SOLDIER (PC GAME)",250,999.00,249750.00,899.100
99993,"NOKIA 1280 (BLACK)",250,999.00,249750.00,899.100
230,"ESPRIT ANALOG WATCH",5,3495.00,17475.00,3145.500
249,"ALL-IN-ONE BOARD GAME",20,450.00,9000.00,405.000
250,"HUWI WI-FI RECEIVER 500MBPS",30,287.00,8610.00,258.300
99990,"QUANTA 4 PORT USB HUB",50,500.00,25000.00,450.000
