PRODUCT_ID,PRODUCT_DESC,PRODUCT_QUANTITY_AVAIL,QUANTITY_SOLD,INVENTORY_STATUS
99999,"SAMSUNG GALAXY TAB 2 P3100",50,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99998,"NIKON COOLPIX L810 BRIDGE",50,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99997,"SONY XPERIA U (BLACK WHITE)",50,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99994,"HP DESKJET 2050 ALL-IN-ONE - J510A PRINTER",100,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99995,"LG MS-2049UW SOLO MICROWAVE",100,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99996,"NOKIA ASHA 200 (GRAPHITE)",100,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99991,"DELL TARGUS SYNERGY 2.0 BACKPACK",250,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99992,"TOM CLANCY'S GHOST RECON: FUTURE SOLDIER (PC GAME)",250,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99993,"NOKIA 1280 (BLACK)",250,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
201,"SKY LED 102 CM TV",30,6,"SUFFICIENT INVENTORY"
202,"SAMS 192 L4 SINGLE-DOOR REFRIGERATOR",15,6,"SUFFICIENT INVENTORY"
203,"JOCKY SPEAKER MUSIC SYSTEM HT32",19,3,"SUFFICIENT INVENTORY"
204,"CRICKET SET FOR BOYS",10,10,"SUFFICIENT INVENTORY"
205,"INFANT SLEEPWEAR BLUE",50,7,"SUFFICIENT INVENTORY"
206,"BARBIE FAB GOWN DOLL",20,13,"SUFFICIENT INVENTORY"
207,"REMOTE CONTROL CAR",29,11,"SUFFICIENT INVENTORY"
208,"DOLL HOUSE",12,4,"SUFFICIENT INVENTORY"
209,"BLUE JEANS 34",100,12,"SUFFICIENT INVENTORY"
210,"BLOSSOMS LEHENGA CHOLI SET",100,10,"SUFFICIENT INVENTORY"
211,"ONEPLUS 6 SMART PHONE",25,5,"SUFFICIENT INVENTORY"
212,"SAMSUNG GALAXY ON6",20,9,"SUFFICIENT INVENTORY"
213,ALCHEMIST,50,21,"SUFFICIENT INVENTORY"
214,"HARRY POTTER",50,27,"SUFFICIENT INVENTORY"
215,"LOGTECH M244 OPTICAL MOUSE",10,9,"SUFFICIENT INVENTORY"
216,"EXTERNAL HARD DISK 500 GB",10,7,"SUFFICIENT INVENTORY"
217,"TITAN KARISHMA WATCH",35,2,"SUFFICIENT INVENTORY"
218,"SHELL FINGERTIP BALL PEN",150,67,"SUFFICIENT INVENTORY"
219,"RUF-N-TUF BLACK PU LEATHER BELT",50,20,"SUFFICIENT INVENTORY"
220,"HELLO KITTI LUNCH BAG",15,5,"SUFFICIENT INVENTORY"
221,"CYBERSHOT DWC-W325 CAMERA",5,4,"SUFFICIENT INVENTORY"
222,"KITCHASST SIPHON COFFEE MAKER 500 ML",10,3,"SUFFICIENT INVENTORY"
223,"SAMS 21L MICROWAVE OVEN",5,4,"SUFFICIENT INVENTORY"
224,"PHILS HL 7430 MIXER GRINDER 750W",3,2,"SUFFICIENT INVENTORY"
225,"SOLMO NON-STICK SANDWICH MAKER 750 W",10,3,"SUFFICIENT INVENTORY"
226,"SOLMO HAND BLENDER FIBRE",12,7,"SUFFICIENT INVENTORY"
227,"PHILS WAH COLLECTION JUICER JM12",2,7,"LOW INVENTORY, NEED TO ADD INVENTORY"
228,"ADIDAS ANALOG WATCH",10,7,"SUFFICIENT INVENTORY"
229,"DISNEY ANALOG WATCH",10,2,"SUFFICIENT INVENTORY"
230,"ESPRIT ANALOG WATCH",5,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
231,"HP ODC LAPTOP BAG 15.5",10,7,"SUFFICIENT INVENTORY"
232,"WOMEN HAND BAG",15,4,"SUFFICIENT INVENTORY"
233,"HP ODC SCHOOL BAG 2.5'",35,13,"SUFFICIENT INVENTORY"
234,"FLUFF TOTE TRAVEL BAG 35LTR",8,4,"SUFFICIENT INVENTORY"
236,"SOLO EXAM SB-01 WRITING PAD",30,21,"SUFFICIENT INVENTORY"
238,"KASYO DJ-2100 DESKTOP CALCULATOR",10,10,"SUFFICIENT INVENTORY"
239,"TRANS 2D A4 SIZE BOX FILE",6,5,"SUFFICIENT INVENTORY"
240,"4M POST IT PAD 3.5",8,29,"LOW INVENTORY, NEED TO ADD INVENTORY"
242,"GREENWUD CT-NO-PR COFFEE TABLE",6,7,"SUFFICIENT INVENTORY"
243,"SUPREME FUSION CUPBOARD 02TB",3,5,"MEDIUM INVENTORY, NEED TO ADD SOME INVENTORY"
244,"FOLDABLE PREMIUM CHAIR",6,16,"MEDIUM INVENTORY, NEED TO ADD SOME INVENTORY"
245,"GREENWUD NOVA PEDESTAL UNIT",5,3,"SUFFICIENT INVENTORY"
235,"CINDY HMPOC PENCIL BOX (MULTICOLOR)",10,40,"LOW INVENTORY, NEED TO ADD INVENTORY"
237,"ZAMARK COLOR PENCIL ART SET",10,3,"SUFFICIENT INVENTORY"
241,"PK COPIER A4 75 GSM WHITE PAPER REAM",2,18,"LOW INVENTORY, NEED TO ADD INVENTORY"
246,"EXAM WARRIORS",50,3,"SUFFICIENT INVENTORY"
247,"SMALL IS BEAUTIFUL",40,1,"SUFFICIENT INVENTORY"
248,"TO KILL A MOCKING BIRD",35,1,"SUFFICIENT INVENTORY"
249,"ALL-IN-ONE BOARD GAME",20,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
250,"HUWI WI-FI RECEIVER 500MBPS",30,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
99990,"QUANTA 4 PORT USB HUB",50,NULL,"NO SALES IN PAST, GIVE DISCOUNT TO REDUCE INVENTORY"
